idx,metrics,AD_type,y_pred,y_true
272,4.6434803,OAD,59.240387,64.0
273,6.729881,OAD,52.985172,52.0
274,3.1108305,OAD,48.524227,18.0
275,4.957911,OAD,37.036312,0.0
276,4.460712,OAD,42.529743,0.0
277,4.604343,OAD,58.03811,85.0
278,9.052394,OAD,51.5657,0.0
279,6.486672,OAD,35.383247,42.0
280,6.486672,OAD,35.383247,24.0
281,7.855018,OAD,33.01414,0.0
282,4.604343,OAD,58.03811,85.0
283,4.4784102,OAD,77.67603,87.0
284,2.5933325,OAD,80.26344,99.0
285,5.0718527,OAD,83.66523,98.0
286,6.6180987,OAD,77.961845,94.0
287,5.7899103,OAD,61.16575,92.0
288,5.6299286,OAD,71.121475,88.0
289,5.0435686,OAD,69.3326,92.0
290,5.668095,OAD,70.164894,94.0
291,4.9834037,OAD,78.79643,99.0
292,5.5931067,OAD,66.91158,80.0
293,5.4071794,OAD,69.882545,98.0
294,6.0335627,OAD,82.65507,82.0
295,5.2832394,OAD,75.87685,97.0
296,5.1003966,OAD,78.86154,97.0
297,5.207462,OAD,80.039536,99.0
298,5.674643,OAD,77.193306,87.0
299,5.593431,OAD,76.58506,99.0
300,4.165951,OAD,72.35496,85.0
301,6.058238,OAD,80.98121,91.0
302,6.81987,OAD,76.06734,85.0
303,5.553614,OAD,76.41689,97.0
304,5.442418,OAD,80.59436,82.0
305,6.9321384,OAD,69.09361,49.24
306,1.2080077,IAD,72.65159,82.0
307,0.85932046,IAD,69.205086,91.0
308,5.5164437,OAD,74.96692,80.0
309,3.8793373,OAD,62.93678,64.0
310,1.890547,IAD,67.99855,66.0
311,1.7032968,IAD,47.52416,85.0
312,3.1934934,OAD,63.617054,64.0
313,4.1142797,OAD,52.50368,84.0
314,3.4333272,OAD,62.224148,81.0
315,5.142736,OAD,52.038063,75.0
316,3.4739158,OAD,57.903473,53.0
317,2.2882872,OAD,44.376945,68.0
318,2.1390805,OAD,43.963554,81.0
319,6.5635037,OAD,60.262234,90.0
320,5.687714,OAD,65.54379,96.0
321,2.723051,OAD,58.98592,88.0
322,4.4695606,OAD,63.758205,91.0
323,3.1800368,OAD,60.2157,96.0
324,3.76729,OAD,56.984955,84.0
325,3.2905743,OAD,56.135937,89.0
326,3.160301,OAD,56.188744,93.0
327,3.7566395,OAD,56.373814,98.0
328,9.053667,OAD,51.150337,77.0
329,10.160321,OAD,48.631786,83.0
330,3.812419,OAD,46.064137,100.0
331,8.645525,OAD,54.6294,84.0
332,6.6668024,OAD,48.168068,99.0
333,6.447453,OAD,51.89564,94.0
334,5.4953,OAD,46.17661,89.0
335,9.213385,OAD,54.648087,89.0
336,4.2023664,OAD,54.335625,86.0
337,8.981585,OAD,53.56015,81.0
338,4.873742,OAD,56.3975,21.0
339,16.49994,OAD,15.487319,0.0
340,25.84207,OAD,14.82095,5.0
341,4.626943,OAD,68.95934,97.0
342,5.344004,OAD,60.24317,97.0
343,11.662116,OAD,54.972355,94.0
344,9.690414,OAD,54.203304,81.0
345,5.3642373,OAD,45.278316,59.0
346,3.0867312,OAD,36.09168,77.0
347,8.716011,OAD,37.79047,66.0
348,4.332291,OAD,58.25805,82.0
349,2.9166627,OAD,59.92612,81.0
350,2.5793266,OAD,50.910564,90.0
351,4.183957,OAD,53.98979,90.0
352,6.09224,OAD,57.398834,97.0
353,2.8539026,OAD,57.69966,82.0
354,8.34843,OAD,36.298183,51.0
355,4.265506,OAD,41.0263,2.5
356,2.1804302,OAD,64.39786,91.0
357,2.4947457,OAD,59.410107,91.0
358,5.155315,OAD,75.52723,93.0
359,5.2718663,OAD,69.655334,97.0
360,5.6822357,OAD,68.896545,93.0
361,3.4130974,OAD,61.934258,72.0
362,3.64123,OAD,75.86271,93.0
363,3.9648228,OAD,63.353664,22.0
364,11.372177,OAD,37.112,95.0
365,6.4364977,OAD,43.90678,81.0
366,7.1945815,OAD,50.020336,62.0
367,5.378495,OAD,72.53751,96.0
368,2.9899094,OAD,73.618835,94.0
369,7.2562456,OAD,46.7758,71.0
370,6.463697,OAD,70.5847,99.0
371,5.5429955,OAD,66.09849,75.0
372,2.676543,OAD,68.44347,85.0
373,4.1402183,OAD,65.70254,88.0
374,3.2893536,OAD,60.549065,93.0
375,6.375992,OAD,67.47133,90.0
376,4.519427,OAD,44.783424,79.0
377,1.3408481,IAD,54.091125,75.0
378,7.111099,OAD,47.31344,93.0
379,5.9185076,OAD,61.554325,33.0
380,2.8891459,OAD,67.24751,84.0
381,1.6865348,IAD,70.60674,2.5
382,1.5088333,IAD,70.96697,46.0
383,2.7725804,OAD,67.89356,80.0
384,2.211444,OAD,55.85958,39.0
385,1.6525639,IAD,54.43708,46.0
386,4.3338604,OAD,54.03206,35.0
387,4.409873,OAD,59.739273,57.0
388,5.2396607,OAD,43.648613,30.0
389,4.362059,OAD,62.054867,51.0
390,3.4417982,OAD,65.24727,65.0
391,3.4688132,OAD,57.49819,53.0
392,2.6507404,OAD,71.48155,70.0
393,4.258133,OAD,44.278484,57.0
394,3.8417087,OAD,48.04648,59.0
395,3.8152432,OAD,71.87206,95.0
396,3.1898506,OAD,68.714874,87.0
397,2.2976415,OAD,54.5341,91.0
398,2.7956653,OAD,64.853874,87.0
399,4.100416,OAD,63.02369,77.0
400,8.68097,OAD,46.040596,90.0
401,6.8571687,OAD,44.918,83.0
402,5.6633787,OAD,43.05626,86.0
403,5.711192,OAD,60.474117,84.0
404,4.444871,OAD,62.820793,85.0
405,3.5182528,OAD,68.09326,82.0
406,5.114572,OAD,58.610424,80.0
407,3.3155782,OAD,70.529945,89.0
408,3.829764,OAD,72.9983,75.0
409,1.7952784,IAD,70.36788,82.0
410,2.716385,OAD,73.92619,91.0
411,4.6327586,OAD,68.41233,98.0
412,2.7635942,OAD,73.756645,71.0
413,4.340446,OAD,69.483284,89.0
414,6.5659695,OAD,81.72214,94.0
415,5.107066,OAD,47.69892,84.0
416,3.152214,OAD,82.86226,96.0
417,6.7395844,OAD,81.049416,95.0
418,5.236181,OAD,78.23689,87.0
419,7.9065847,OAD,66.91387,86.0
420,2.6950762,OAD,74.28414,85.0
421,6.2332816,OAD,81.417656,89.0
422,4.904189,OAD,60.934734,74.0
423,3.1121833,OAD,63.85913,77.0
424,3.5032334,OAD,71.028,82.0
425,2.4833877,OAD,66.88452,84.0
426,2.4833877,OAD,66.88452,56.0
427,2.4833877,OAD,66.88452,51.0
428,15.879922,OAD,46.746334,39.0
429,9.05939,OAD,39.57749,33.0
430,8.307955,OAD,28.696789,32.0
431,3.120641,OAD,74.42231,98.0
432,2.6549237,OAD,69.552444,96.0
433,1.4451109,IAD,70.10618,93.0
434,3.6643326,OAD,74.68903,96.0
435,1.5069637,IAD,80.65158,94.0
436,0.79707116,IAD,71.9494,96.0
437,10.223484,OAD,44.696007,71.0
