idx,metrics,AD_type,y_pred,y_true
1509,5.091546,OAD,44.26446,75.0
1510,5.1785846,OAD,46.533855,70.0
1511,3.3550549,OAD,53.11785,82.0
1512,3.689613,OAD,49.810234,80.0
1513,4.3483276,OAD,47.419987,79.0
1514,4.8036156,OAD,46.436577,74.0
1515,3.1637194,OAD,45.054226,78.0
1516,4.326365,OAD,41.002663,76.0
1517,3.2962718,OAD,46.217003,77.0
1518,8.089056,OAD,23.812784,80.0
1519,3.301715,OAD,51.619225,77.0
1520,3.9823203,OAD,41.08102,83.0
1521,3.3614385,OAD,42.448853,74.0
1522,5.160534,OAD,41.501667,65.0
1523,4.3937817,OAD,55.642273,35.0
1524,5.927827,OAD,47.32894,56.0
1525,6.4700904,OAD,53.388634,80.0
1526,8.140356,OAD,53.564915,63.0
1527,5.5489655,OAD,44.902508,1.0
1528,6.3570275,OAD,62.151627,80.0
1529,5.432353,OAD,49.694347,82.0
1530,6.7532845,OAD,50.70963,82.0
1531,4.744988,OAD,52.111275,53.0
1532,5.155028,OAD,65.13761,67.0
1533,6.3570275,OAD,62.151627,90.0
1534,6.4700904,OAD,53.388634,82.0
1535,5.432353,OAD,49.694347,35.0
1536,6.7532845,OAD,50.70963,41.0
1537,9.006987,OAD,56.740242,70.0
1538,5.279333,OAD,38.134712,96.0
1539,5.279333,OAD,38.134712,98.0
1540,5.279333,OAD,38.134712,36.0
1541,5.7270164,OAD,37.953262,86.0
1542,5.279333,OAD,38.134712,0.0
1543,7.4084435,OAD,38.07084,94.0
1544,9.557281,OAD,43.54008,99.0
1545,6.3163333,OAD,44.049927,95.0
1546,6.5037556,OAD,55.67704,94.0
1547,2.4429774,OAD,36.904114,86.0
1548,5.654223,OAD,61.20309,86.0
1549,7.032735,OAD,50.745335,92.0
1550,6.4660225,OAD,41.509,87.0
1551,10.288628,OAD,44.447567,96.0
1552,5.7292476,OAD,42.783165,85.0
1553,7.3051,OAD,40.75991,48.0
1554,8.630975,OAD,50.532364,94.0
1555,7.9675393,OAD,48.434753,99.0
1556,3.9714084,OAD,52.849686,99.0
1557,6.839782,OAD,36.708443,75.0
1558,6.010306,OAD,38.514557,86.0
1559,2.1959333,OAD,24.092485,88.0
1560,7.4738297,OAD,44.616497,88.0
1561,9.545134,OAD,42.7492,99.0
1562,7.240067,OAD,28.980066,2.0
1563,5.6011243,OAD,27.660652,0.0
1564,3.8819308,OAD,19.105707,0.0
1565,4.8918,OAD,29.057878,14.0
1566,4.7032022,OAD,31.555588,75.0
1567,4.9844155,OAD,23.744781,20.0
1568,4.466734,OAD,28.41198,71.0
1569,3.9711185,OAD,26.28355,79.0
1570,3.333747,OAD,22.964205,87.0
1571,3.6415622,OAD,23.260206,82.0
1572,5.247333,OAD,24.857582,44.0
1573,7.0535097,OAD,25.095387,26.0
1574,6.314736,OAD,43.768757,0.0
1575,10.929977,OAD,33.274323,0.0
1576,4.6626115,OAD,25.434563,14.0
1577,5.716901,OAD,37.48832,0.0
1578,2.00423,OAD,23.23737,81.0
1579,3.4465353,OAD,25.26745,80.0
1580,2.3478208,OAD,28.268147,77.0
1581,2.2570696,OAD,27.070902,90.0
1582,4.145561,OAD,46.759235,82.0
1583,5.550756,OAD,45.28634,90.0
1584,3.8912606,OAD,27.7353,87.0
1585,7.497185,OAD,16.286488,96.0
1586,6.376367,OAD,43.922604,93.0
1587,3.1896973,OAD,49.880642,82.0
1588,2.8934376,OAD,23.101273,82.0
1589,2.6090934,OAD,21.333763,88.0
1590,3.1550603,OAD,31.015953,82.0
1591,5.927791,OAD,17.89386,88.0
1592,5.444303,OAD,46.47666,77.0
1593,4.2682576,OAD,25.56756,66.0
1594,1.5439909,OAD,24.978722,91.0
1595,2.269032,OAD,49.829338,80.0
1596,3.520781,OAD,47.315712,79.0
1597,7.3976483,OAD,42.587135,80.0
1598,5.8957777,OAD,49.465027,86.0
1599,7.537709,OAD,46.89441,52.0
1600,6.3944077,OAD,48.107388,88.0
